S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
S&P 500 Index,"2,578.85",2017-11-19 17:10:13.379711
